Time,root.group_9.1701.ZT1
1546351614155,0
1546351616161,0
1546351618160,0
1546351620155,0
1546351622154,0
1546351624152,0
1546351626172,0
1546351628160,0
1546351630155,0
1546351632160,0
1546351634161,0
1546351636160,0
1546351638153,0
1546351640160,0
1546351642160,0
1546351644159,0
1546351646160,0
1546351648155,0
1546351650171,0
1546351652160,0
1546351654159,0
1546351656157,0
1546351658161,0
1546351660159,0
1546351662153,0
1546351664163,0
1546351666152,0
1546351668155,0
1546351670160,0
1546351672153,0
1546351674171,0
1546351676161,0
1546351678153,0
1546351680157,0
1546351682160,0
1546351684152,0
1546351686156,0
1546351688162,0
1546351690155,0
1546351692159,0
1546351694160,0
1546351696156,0
1546351698166,0
1546351700152,0
1546351702154,0
1546351704160,0
1546351706153,0
1546351708160,0
1546351710153,0
1546351712162,0
1546351714153,0
1546351716155,0
1546351718162,0
1546351720153,0
1546351722171,0
1546351724163,0
1546351726159,0
1546351728157,0
1546351730161,0
1546351732157,0
1546351734156,0
1546351736160,0
1546351738153,0
1546351740156,0
1546351742161,0
1546351744154,0
1546351746172,0
1546351748163,0
1546351750157,0
1546351752157,0
1546351754161,0
1546351756154,0
1546351758155,0
1546351760160,0
1546351762154,0
1546351764153,0
1546351766161,0
1546351768155,0
1546351770170,0
1546351772162,0
1546351774154,0
1546351776156,0
1546351778160,0
1546351780155,0
1546351782158,0
1546351784160,0
1546351786152,0
1546351788155,0
1546351790168,0
1546351792160,0
1546351794170,0
1546351796160,0
1546351798158,0
1546351800155,0
1546351802161,0
1546351804157,0
1546351806155,0
1546351808164,0
1546351810161,0
1546351812155,0
1546351814165,0
1546351816158,0
1546351818170,0
1546351820162,0
1546351822155,0
1546351824155,0
1546351826160,0
1546351828158,0
1546351830161,0
1546351832160,0
1546351834153,0
1546351836158,0
1546351838152,0
1546351840156,0
1546351842174,0
1546351844160,0
1546351846155,0
1546351848158,0
1546351850153,0
1546351852154,0
1546351854154,0
1546351856160,0
1546351858152,0
1546351860153,0
1546351862164,0
1546351864158,0
1546351866170,0
1546351868162,0
1546351870156,0
1546351872155,0
1546351874163,0
1546351876156,0
1546351878156,0
1546351880160,0
1546351882153,0
1546351884152,0
1546351886160,0
1546351888159,0
1546351890167,0
1546351892160,0
1546351894156,0
1546351896152,0
1546351898160,0
1546351900155,0
1546351902155,0
1546351904161,0
1546351906157,0
1546351908156,0
1546351910162,0
1546351912162,0
1546351914176,0
1546351916160,0
1546351918157,0
1546351920158,0
1546351922152,0
1546351924159,0
1546351926157,0
1546351928160,0
1546351930160,0
1546351932152,0
1546351934162,0
1546351936161,0
1546351938180,0
1546351940161,0
1546351942156,0
1546351944155,0
1546351946162,0
1546351948153,0
1546351950153,0
1546351952160,0
1546351954153,0
1546351956161,0
1546351958160,0
1546351960153,0
1546351962166,0
1546351964160,0
1546351966157,0
1546351968158,0
1546351970162,0
1546351972153,0
1546351974169,0
1546351976152,0
1546351978154,0
1546351980156,0
1546351982154,0
1546351984159,0
1546351986172,0
1546351988162,0
1546351990155,0
1546351992157,0
1546351994160,0
1546351996160,0
1546351998153,0
1546352000164,0
1546352002165,0
1546352004159,0
1546352006164,0
1546352008157,0
1546352010170,0
1546352012154,0
1546352014156,0
1546352016155,0
1546352018163,0
1546352020160,0
1546352022153,0
1546352024162,0
1546352026162,0
1546352028157,0
1546352030162,0
1546352032155,0
1546352034168,0
1546352036160,0
1546352038153,0
1546352040159,0
1546352042160,0
1546352044154,0
1546352046161,0
1546352048161,0
1546352050155,0
1546352052153,0
1546352054161,0
1546352056160,0
1546352058172,0
1546352060161,0
1546352062162,0
1546352064159,0
1546352066162,0
1546352068161,0
1546352070155,0
1546352072153,0
1546352074153,0
1546352076158,0
1546352078160,0
1546352080158,0
1546352082169,0
1546352084160,0
1546352086152,0
1546352088153,0
1546352090160,0
1546352092162,0
1546352094152,0
1546352096160,0
1546352098152,0
1546352100153,0
1546352102161,0
1546352104157,0
1546352106170,0
1546352108162,0
1546352110155,0
1546352112156,0
1546352114161,0
1546352116153,0
1546352118153,0
1546352120160,0
1546352122154,0
1546352124153,0
1546352126162,0
1546352128153,0
1546352130170,0
1546352132160,0
1546352134156,0
1546352136158,0
1546352138160,0
1546352140152,0
1546352142153,0
1546352144160,0
1546352146153,0
1546352148156,0
1546352150161,0
1546352152161,0
1546352152670,0
1546352154173,0
1546352156162,0
1546352158154,0
1546352160158,0
1546352162163,0
1546352164159,0
1546352166153,0
1546352168163,0
1546352170156,0
1546352172162,0
1546352174160,0
1546352176153,0
1546352178173,0
1546352180167,0
1546352182153,0
1546352184153,0
1546352186160,0
1546352188158,0
